item	phase	start	end	duration (h:m)	
0	sk	02/29 00:42	02/29 01:00	0:17	
		02/29 01:15	02/29 01:29	0:13	
	plan	03/01 00:58	03/01 01:02	0:03	
		03/01 21:56	03/01 21:59	0:03	
		03/07 01:31	03/07 01:32	0:00	
		03/09 20:26	03/09 20:36	0:09	
		03/15 23:01	03/15 23:03	0:02	
	3d	03/02 15:56	03/02 16:21	0:25	
1	sk	02/29 22:14	02/29 23:01	0:47	
		03/01 00:46	03/01 00:58	0:12	
	sk2	03/05 03:14	03/05 03:21	0:07	
		03/05 20:46	03/05 21:22	0:36	
		03/05 21:30	03/05 21:45	0:14	0:58
	ln	03/06 21:44	03/06 21:59	0:15	
	sh	03/06 22:08	03/06 22:30	0:21	
2	sk	03/01 01:02	03/01 01:10	0:07	
	sk2	03/05 23:00	03/05 23:28	0:28	
		03/06 01:55	03/06 02:26	0:31	0:59
	ln	03/07 00:49	03/07 01:00	0:10	
	sh	03/07 01:12	03/07 01:29	0:17	
3	sk	03/01 16:47	03/01 17:06	0:19	
	sk2	03/02 00:06	03/02 00:49	0:43	
		03/02 16:24	03/02 17:18	0:53	
		03/02 21:11	03/02 22:01	0:50	
		03/03 01:04	03/03 01:21	0:17	
		03/03 15:13	03/03 15:33	0:19	3:04
	ln	03/03 15:58	03/03 16:37	0:38	
		03/03 21:06	03/03 21:15	0:08	
	sh	03/03 21:15	03/03 21:25	0:10	
		03/03 21:44	03/03 22:04	0:19	
		03/04 00:42	03/04 01:07	0:24	0:54
	fix	03/04 01:07	03/04 01:37	0:30	
		03/04 20:42	03/04 20:56	0:13	
		03/04 21:11	03/04 21:57	0:45	
		03/04 22:19	03/04 22:31	0:11	
		03/05 01:55	03/05 02:17	0:21	
		03/05 02:28	03/05 03:03	0:35	2:37
		03/09 20:35	03/09 20:45	0:10	
4	sk	03/01 21:19	03/01 21:44	0:25	13:45
	sk2	03/07 21:26	03/07 22:22	0:56	
		03/08 00:11	03/08 00:33	0:21	
		03/08 17:10	03/08 17:43	0:32	
		03/08 20:47	03/08 21:19	0:32	2:22
	ln	03/08 21:20	03/08 22:03	0:42	
	sh	03/09 01:13	03/09 01:24	0:10	
		03/09 01:38	03/09 02:02	0:24	
		03/09 15:20	03/09 15:42	0:21	0:56
	fix	03/09 16:09	03/09 16:19	0:10	
		03/09 20:07	03/09 20:26	0:19	
	3d	03/08 00:45	03/08 00:52	0:07	
sleeve	sk	03/09 20:57	03/09 21:12	0:14	
	doing	03/09 22:23	03/09 22:43	0:19	
interior	sk	03/09 23:06	03/09 23:48	0:42	
	1	03/10 13:54	03/10 14:44	0:49	
	2	03/10 15:48	03/10 16:25	0:37	
	3	03/10 16:34	03/10 17:03	0:28	
	4	03/10 21:16	03/10 21:45	0:28	
fixes	doing	03/11 20:03	03/11 20:10	0:06	
		03/11 20:32	03/11 20:52	0:20	
faces	setup	03/11 20:54	03/11 21:05	0:10	
	plan	03/11 21:05	03/11 21:26	0:21	
	sk	03/11 22:03	03/11 22:37	0:34	
		03/12 01:00	03/12 01:41	0:40	1:14
		03/12 20:43	03/12 21:20	0:37	1:52
	sk fix	03/12 21:20	03/12 21:28	0:08	2:32
	initial face	03/13 00:18	03/13 01:00	0:42	
		03/13 22:35	03/13 22:45	0:09	
		03/13 23:41	03/13 23:59	0:18	
		03/14 20:49	03/14 21:18	0:28	
		03/14 21:49	03/14 22:14	0:24	
		03/15 00:26	03/15 00:52	0:26	
		03/15 02:17	03/15 02:39	0:21	
	doing	03/13 21:47	03/13 22:35	0:48	
		03/14 00:01	03/14 00:17	0:16	
		03/14 00:39	03/14 00:50	0:11	6:39
		03/14 20:47	03/14 20:49	0:02	
		03/14 21:18	03/14 21:33	0:15	
		03/14 21:48	03/14 21:49	0:01	
		03/14 23:49	03/15 00:06	0:16	
		03/15 21:48	03/15 22:16	0:28	
		03/15 22:47	03/15 23:01	0:13	
	extra variations	03/15 00:06	03/15 00:14	0:08	8:05
	fix	03/16 01:21	03/16 01:33	0:12	
	variations	03/16 01:38	03/16 02:28	0:49	